"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"907",7,2,14,3,0,0,1,23,18,41,0,0,13,20,0,2,12,0,3,34,72,1,7,20,104,4,5,24,0,2,9,1,9,31,1,11,1,31,29,2,13,56,252,0,2,9,7,1,1,24,2,2,5,30,1,18,4,3,1,19,0,26,35,1,0,29,0,1,8,1,1,6,5,21,8,5,2,3,5,36,31,13,1,0,1,3,12,2,44,35,6,6,68,0,1,14,0,2,0,2
"908",4,1,13,8,1,0,0,20,12,60,2,0,25,27,1,2,7,0,2,41,47,1,4,21,103,2,2,17,0,0,9,0,10,27,0,8,3,25,18,5,2,62,216,0,1,10,16,0,1,29,2,1,0,35,1,20,5,0,0,20,0,30,48,1,2,17,0,2,11,1,1,8,11,19,10,5,2,5,8,41,39,21,3,0,4,1,13,3,64,29,2,2,65,0,2,19,0,2,2,2
"909",7,0,14,1,1,2,1,22,23,59,1,0,14,21,0,2,4,9,3,44,57,1,7,22,79,2,1,13,0,1,16,0,14,24,0,10,1,26,15,2,2,46,318,0,3,12,17,0,1,21,3,1,5,31,1,21,4,17,3,10,0,18,43,1,10,26,0,4,7,1,0,3,10,28,8,3,1,6,13,36,32,21,4,0,3,1,10,8,82,31,3,9,18,0,4,18,0,2,1,0
"910",5,0,17,2,0,0,0,25,16,61,1,2,22,20,0,1,8,3,3,41,72,0,5,40,102,2,2,17,0,1,11,4,30,32,0,10,2,29,17,10,18,38,342,5,1,10,16,0,3,24,3,3,7,38,1,17,16,9,4,13,0,15,37,3,4,32,0,2,5,0,2,5,11,23,11,1,0,8,7,37,39,17,8,0,4,19,10,4,152,40,7,11,12,0,2,10,0,0,0,2
"911",3,1,16,5,1,0,0,11,13,59,2,0,22,19,0,1,9,3,2,52,25,1,7,29,83,2,2,13,0,2,15,5,22,35,0,16,6,35,17,13,9,48,210,4,1,9,17,0,8,20,2,2,1,32,0,25,6,5,1,8,0,37,25,1,2,36,0,3,9,0,1,6,2,20,11,2,0,1,4,54,34,15,4,0,1,26,15,5,78,39,5,7,30,0,0,17,0,2,0,0
"912",11,0,29,2,1,1,0,17,5,40,0,0,12,16,0,1,3,0,1,42,54,1,3,25,53,3,3,13,1,2,10,4,39,19,0,13,4,31,17,5,20,49,152,7,3,10,9,0,4,17,2,2,6,33,1,27,8,30,0,13,0,45,21,0,4,20,0,4,11,1,2,6,3,24,5,1,3,9,6,41,28,15,4,0,7,24,19,5,29,27,4,6,47,1,1,10,0,5,1,1
"913",5,0,11,0,5,0,0,22,4,67,3,0,20,18,0,1,10,1,3,44,32,0,3,33,42,3,3,10,0,3,16,2,18,22,0,9,5,51,17,4,7,49,201,0,2,10,9,0,1,18,1,1,9,36,1,26,4,8,0,14,0,34,12,1,9,30,0,1,4,2,3,7,3,24,6,3,0,8,5,44,31,15,8,0,2,17,14,3,58,31,4,6,47,0,4,15,0,3,0,1
"914",4,0,17,3,5,0,2,17,2,52,3,1,17,19,0,1,7,6,1,43,37,1,4,29,66,5,3,20,1,0,8,2,25,34,1,14,4,36,15,2,3,45,146,1,1,7,10,0,2,16,2,0,18,40,2,26,3,0,0,14,0,35,9,1,8,35,0,3,7,3,6,6,5,18,2,8,1,3,8,42,28,16,6,0,2,14,14,8,69,36,4,13,56,0,3,11,0,1,1,0
"915",7,1,12,2,4,0,2,21,3,46,0,0,21,14,0,3,5,1,1,45,21,0,3,26,52,5,0,14,0,0,14,5,16,19,1,8,6,34,26,3,10,42,96,0,1,8,10,0,1,17,1,2,17,54,0,15,6,13,0,10,0,39,3,5,11,26,0,2,10,1,4,9,3,28,5,3,0,2,10,47,30,7,3,0,5,12,12,11,51,34,4,9,51,0,0,13,0,2,1,0
"916",3,0,13,3,3,2,1,21,3,33,0,0,15,15,0,0,8,9,3,46,66,0,4,23,44,3,2,11,0,0,10,3,16,19,0,14,1,26,19,4,11,40,209,2,2,13,18,0,2,17,2,1,11,44,0,23,6,34,1,9,0,35,20,0,7,31,0,4,11,2,6,9,1,18,4,7,4,8,12,35,41,13,1,0,3,21,16,14,83,25,4,11,93,2,2,5,0,2,1,2
