"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",1,6,3,1,1,0,1,9,1,14,3,0,7,12,19,0,12,0,0,30,19,0,2,6,1,3,7,3,0,2,7,0,11,13,0,8,3,9,15,4,0,10,29,4,8,6,10,0,1,6,4,5,14,14,0,4,24,13,8,6,0,21,19,0,1,20,0,1,2,7,1,11,1,11,2,4,4,2,4,15,15,12,5,0,1,5,17,3,40,11,5,6,10,3,1,2,0,3,0,1
"2",5,6,4,0,1,1,7,21,2,18,3,0,14,16,20,0,17,0,6,55,186,1,4,6,6,1,5,7,0,1,8,0,16,13,3,14,6,20,11,5,0,9,44,8,16,11,14,2,1,10,0,4,10,21,1,4,36,11,5,7,0,26,13,1,2,50,0,2,2,17,0,12,3,16,3,6,8,2,10,12,25,14,3,0,1,23,8,2,67,16,3,4,7,2,0,0,0,2,3,1
"3",7,4,2,0,0,2,10,22,0,40,1,0,12,13,22,1,16,0,7,59,112,0,1,5,12,2,9,4,2,1,10,2,13,13,8,12,10,17,9,18,0,17,25,6,26,6,6,1,2,6,1,1,15,24,0,5,48,12,23,13,0,16,34,4,0,51,0,3,3,4,3,13,1,15,1,8,6,4,16,14,26,14,0,0,1,27,14,4,188,20,4,3,11,3,0,3,0,3,4,1
"4",5,5,4,2,0,2,5,21,3,28,3,0,13,11,16,9,12,0,2,65,110,0,5,9,11,1,9,5,0,1,8,2,11,10,5,18,4,14,17,11,0,18,36,5,26,12,15,0,0,9,2,1,14,23,0,11,46,8,18,19,0,30,30,3,2,52,0,4,3,7,2,18,3,14,1,11,3,0,12,16,21,9,3,0,2,28,10,10,202,15,5,4,9,4,2,4,0,7,13,0
"5",3,3,5,3,1,2,3,24,1,28,4,1,14,15,2,6,12,0,10,64,147,3,3,12,7,2,3,7,0,3,7,0,7,12,2,8,2,22,16,12,1,11,52,8,17,15,15,1,1,7,5,4,13,28,0,13,40,15,20,19,0,29,26,1,3,60,0,8,5,6,2,15,1,22,1,7,7,2,6,15,27,8,2,0,6,3,19,9,146,16,6,2,13,3,0,6,0,6,5,2
"6",8,4,3,2,0,0,7,20,1,24,4,4,21,15,22,3,10,0,8,66,91,1,2,11,8,2,4,7,1,1,11,2,18,12,3,9,6,20,26,6,0,12,47,6,28,8,8,0,0,3,3,1,9,26,0,8,44,12,16,14,0,25,7,6,2,84,0,1,0,10,1,10,0,30,4,3,3,1,19,18,21,9,0,0,2,14,17,10,148,16,5,7,18,1,0,4,0,6,2,2
"7",6,1,3,1,1,0,9,20,0,24,3,0,25,9,5,1,15,0,7,58,57,1,4,13,3,3,4,8,2,0,11,0,7,12,3,7,6,17,24,1,0,11,34,8,18,7,9,1,1,3,2,0,4,32,2,18,53,3,29,3,0,23,30,3,4,78,0,6,2,7,0,11,4,25,3,2,11,5,19,17,24,26,4,0,6,10,13,10,224,21,7,2,6,1,0,2,0,5,6,1
"8",3,3,5,2,5,3,2,18,1,30,3,1,19,14,2,6,19,18,3,74,20,0,4,17,9,3,8,4,1,1,11,1,10,12,1,6,10,17,13,3,0,13,61,11,8,4,9,0,2,10,2,3,6,41,1,13,41,20,15,10,0,40,26,0,3,75,0,5,7,6,1,9,1,22,5,4,12,0,19,20,28,29,7,0,7,14,9,12,134,14,5,3,17,4,0,5,0,3,1,0
"9",6,4,3,1,0,1,2,15,0,33,2,1,19,15,1,6,17,7,4,48,62,1,8,12,13,0,9,13,0,1,13,2,15,9,1,9,4,18,16,0,2,14,47,9,15,6,10,0,0,16,0,0,11,28,0,15,45,17,15,7,0,32,10,2,3,84,0,7,0,5,5,16,1,17,3,2,8,2,11,24,25,34,3,0,5,10,12,6,156,21,11,5,10,4,0,2,0,2,3,0
"10",10,4,5,0,2,1,2,11,3,32,4,2,7,11,0,7,14,7,8,63,84,0,5,10,15,2,6,7,1,1,8,1,14,19,0,11,5,12,18,3,4,12,43,8,14,8,11,2,2,21,2,1,17,30,0,12,34,10,12,7,0,34,12,6,3,63,0,6,0,7,4,19,0,23,1,2,13,1,16,18,22,21,2,0,5,21,17,10,157,17,3,4,12,2,1,4,0,1,2,0
"11",7,1,3,3,0,1,1,20,1,41,0,2,15,15,0,2,13,3,3,58,50,2,3,9,13,2,7,8,1,0,14,1,11,11,1,12,5,21,18,4,0,9,48,7,12,4,9,0,1,9,5,2,10,30,0,11,46,10,10,15,1,51,9,2,3,71,0,3,7,8,3,12,0,15,5,9,5,1,8,22,27,10,8,0,8,27,14,13,116,16,5,3,16,8,0,4,0,6,4,1
"12",10,4,2,0,1,0,2,14,3,43,3,0,10,21,0,1,15,4,4,68,89,0,7,6,13,1,3,3,3,1,11,0,27,7,1,3,6,20,20,3,0,8,41,11,13,8,12,0,1,14,1,0,10,31,1,12,51,7,12,7,0,23,8,0,4,70,0,4,4,5,3,11,1,28,3,5,0,2,11,20,37,13,2,0,3,18,17,6,101,15,13,4,17,1,2,6,0,1,8,1
"13",7,5,2,2,2,1,2,17,0,41,4,0,16,15,13,9,15,7,6,58,132,0,4,10,18,2,7,1,1,0,9,0,26,14,3,7,7,10,21,4,2,16,57,3,3,9,11,1,3,13,5,0,6,39,1,7,38,5,15,11,0,29,15,3,0,71,0,6,0,1,2,12,2,22,0,4,2,1,18,14,26,14,2,0,4,6,16,12,110,12,6,1,6,1,0,4,0,2,1,1
"14",3,5,2,2,0,2,6,21,0,29,2,0,23,13,14,3,15,2,4,58,63,3,4,19,13,1,7,7,0,0,7,1,18,8,4,8,9,18,16,3,0,15,42,5,4,6,8,0,0,11,2,1,7,42,0,6,28,6,21,13,0,26,9,1,3,76,0,7,2,6,1,12,2,20,3,10,3,0,23,20,28,18,5,1,6,12,9,8,115,10,8,5,18,7,1,13,0,2,2,0
"15",8,4,4,3,2,1,7,16,4,41,3,0,21,10,23,3,13,1,3,63,40,0,3,12,11,1,8,5,0,0,8,1,29,9,0,7,3,19,16,7,0,7,31,7,11,5,12,2,1,10,3,0,9,53,0,6,34,14,18,12,0,40,10,1,2,61,1,2,3,6,1,11,4,20,1,5,2,1,24,20,30,16,5,0,5,19,17,10,149,13,7,6,19,3,0,13,0,0,3,1
"16",7,6,4,2,1,1,7,16,2,47,3,0,11,11,11,5,17,4,2,72,84,0,2,11,11,1,4,5,0,1,5,1,22,5,4,6,2,19,14,9,0,15,35,4,10,5,9,1,2,12,1,0,3,28,1,8,33,1,21,8,0,31,8,2,3,72,0,3,2,9,0,7,0,19,2,6,8,0,5,19,24,19,10,0,4,2,16,7,86,18,3,6,14,4,3,9,1,4,7,0
"17",12,4,3,1,1,0,6,18,1,24,4,0,19,18,9,2,15,2,9,55,107,0,4,17,13,1,10,9,0,2,5,0,22,6,2,7,8,16,23,13,1,18,47,4,9,10,9,0,4,6,1,2,4,31,0,12,31,3,15,5,0,24,30,0,2,49,0,5,3,4,3,9,1,26,2,7,5,1,6,15,29,27,3,0,6,15,15,10,78,18,6,9,18,0,1,8,1,2,2,0
"18",7,5,7,1,2,2,7,11,3,32,2,0,13,12,3,4,10,4,3,66,60,0,4,17,13,3,10,10,2,0,3,0,18,8,0,8,16,25,13,6,1,16,47,1,16,5,10,0,1,8,3,1,1,34,0,11,33,0,9,11,0,25,36,4,4,77,0,3,4,17,5,3,2,24,3,6,5,0,8,19,26,24,2,0,4,18,13,16,85,20,3,9,19,1,1,2,0,5,4,0
"19",7,6,2,2,0,0,8,7,2,34,5,0,16,11,4,3,14,18,2,73,120,1,1,11,9,1,4,9,1,1,7,0,26,8,1,7,9,28,17,9,0,9,47,11,32,5,9,2,1,11,2,0,4,31,0,8,41,0,11,6,0,29,44,1,5,90,3,3,1,8,2,10,2,20,2,9,4,2,27,17,26,24,1,0,3,4,17,10,95,14,3,3,13,3,0,6,1,3,3,0
"20",9,3,2,1,0,0,1,2,0,26,2,1,16,22,7,13,14,16,4,73,86,0,5,18,18,3,8,1,0,0,7,0,25,13,1,10,7,25,13,8,0,13,65,9,21,7,5,2,1,4,2,0,11,29,0,15,42,0,27,5,0,32,24,2,3,78,0,5,0,8,4,8,2,16,2,8,5,0,9,12,26,24,3,1,8,28,18,14,241,11,4,2,17,3,0,2,0,3,1,1
"21",6,2,1,1,0,0,7,9,0,27,1,1,18,21,2,6,17,8,2,67,64,1,6,16,14,2,7,5,2,0,6,0,33,13,2,14,5,26,16,6,0,10,53,14,20,5,8,0,1,5,4,1,0,33,1,12,51,8,18,2,0,24,28,2,2,68,1,6,0,7,0,14,1,22,3,4,5,0,15,18,31,25,1,1,5,29,9,12,267,17,9,5,14,2,0,4,0,0,4,0
"22",9,5,2,3,3,1,9,15,2,35,1,0,14,12,14,3,14,4,6,58,74,0,4,12,8,2,9,5,3,0,9,2,20,8,2,7,2,26,10,13,0,7,25,5,15,7,8,3,0,2,4,0,1,34,0,14,31,10,9,9,0,20,22,3,1,84,1,4,0,6,2,7,3,15,2,3,4,1,23,21,21,21,7,0,3,23,13,11,253,21,4,2,10,1,1,2,0,0,4,0
"23",6,1,4,2,1,0,8,15,1,20,1,0,23,17,4,13,18,12,4,77,24,0,4,8,10,4,11,13,0,0,6,1,16,8,3,3,1,39,9,17,0,20,42,13,13,5,8,0,0,6,2,1,9,28,0,6,37,16,15,11,0,27,7,3,3,66,0,1,0,18,1,11,4,22,2,3,4,0,23,15,24,14,7,0,3,8,10,14,322,16,9,8,11,2,0,2,2,0,1,0
"24",8,4,0,1,1,0,5,14,0,26,1,1,27,16,1,4,11,12,1,60,84,0,1,15,4,0,4,9,0,0,4,1,24,12,1,9,3,32,14,20,0,21,48,8,26,5,11,1,1,5,2,1,10,23,0,11,58,2,15,6,0,29,15,0,5,47,0,3,0,7,0,8,2,19,7,2,0,2,21,11,25,6,7,1,5,1,11,8,264,17,5,11,15,6,0,1,1,1,2,1
"25",4,4,2,1,0,0,3,16,2,31,0,1,23,16,1,6,12,7,3,51,67,0,2,14,1,0,10,9,0,2,7,1,37,11,0,15,3,26,17,20,0,7,37,5,16,4,10,1,0,11,1,1,13,30,0,8,50,7,20,6,0,24,20,2,3,69,0,0,0,9,1,8,5,25,5,6,1,1,26,19,30,17,2,2,4,0,15,13,251,18,8,9,9,5,0,7,0,5,2,0
"26",6,5,5,2,1,0,3,16,0,35,2,3,23,16,0,8,19,4,5,55,94,1,5,15,1,1,2,3,0,1,5,0,17,6,1,15,5,35,21,18,0,1,45,13,13,2,10,0,0,7,1,1,9,40,0,8,48,14,14,6,0,31,40,1,0,54,0,2,0,2,2,10,1,17,10,0,1,1,31,19,27,15,9,2,2,0,13,8,221,14,7,13,4,4,1,0,0,3,3,0
"27",8,3,5,2,0,0,7,22,2,39,1,1,16,11,0,7,14,2,2,60,123,0,1,15,5,0,4,6,0,3,4,0,20,14,0,11,3,21,19,11,0,15,44,9,12,2,11,0,1,8,3,0,18,25,2,12,45,6,10,1,0,33,9,0,1,57,0,1,5,5,1,6,1,29,3,4,6,1,43,19,33,19,3,0,7,7,13,5,247,11,8,8,11,4,1,5,0,3,3,0
"28",3,5,3,0,4,0,8,15,2,29,0,2,26,17,0,5,21,5,3,56,103,1,7,10,5,0,6,4,0,1,4,0,17,9,0,12,7,27,15,12,1,15,51,10,22,4,8,1,3,7,2,0,10,35,1,6,49,10,12,2,0,35,16,0,2,63,0,3,5,8,1,10,3,24,3,6,2,1,30,20,21,17,2,1,3,3,12,4,214,17,4,9,6,1,0,6,0,3,1,1
"29",5,0,2,2,1,0,9,15,2,29,4,1,16,14,0,2,16,7,0,58,62,0,8,10,5,3,11,8,0,2,5,0,19,16,1,23,4,17,17,18,1,14,20,12,10,3,5,0,1,13,3,0,6,31,0,13,35,1,12,12,0,16,19,1,4,34,0,1,6,12,2,6,1,22,1,6,1,2,45,38,22,25,1,1,5,4,15,10,217,21,8,3,14,3,0,4,0,5,4,1
"30",9,6,2,2,0,0,8,20,1,28,2,1,9,21,0,14,16,8,2,72,36,1,6,16,9,0,5,5,0,1,10,0,14,17,2,12,8,25,9,16,1,34,32,8,9,3,6,0,2,12,2,1,2,32,2,12,44,8,21,5,0,38,17,1,3,38,0,5,2,8,0,8,0,24,0,6,2,1,41,23,23,10,8,1,4,2,14,13,198,14,4,3,9,6,0,4,2,2,2,1
"31",3,1,1,3,0,0,10,21,5,27,0,0,16,14,0,8,9,4,5,52,54,0,5,12,5,2,5,8,0,0,3,0,28,22,3,7,1,21,11,21,2,34,34,12,17,2,7,0,1,12,2,3,4,32,0,7,31,18,15,11,0,45,25,0,6,44,4,1,0,7,2,12,0,30,1,8,3,1,26,23,24,17,5,0,8,14,16,4,297,23,7,5,10,8,1,7,1,5,3,0
"32",6,3,0,3,0,0,6,19,1,33,2,4,19,14,0,4,12,5,2,55,25,1,4,9,0,5,9,7,0,3,12,0,14,11,1,11,7,28,15,26,0,37,27,12,14,4,12,0,0,15,4,1,11,28,1,7,25,1,13,9,0,44,9,0,0,56,2,5,0,13,0,17,3,19,0,20,7,2,19,12,29,26,6,1,4,6,10,8,211,17,7,9,11,2,0,8,0,2,5,1
"33",5,0,2,1,2,0,7,22,1,32,3,2,12,22,0,7,13,3,4,53,27,0,4,10,2,2,9,8,0,2,11,0,15,16,2,12,9,27,12,11,0,19,34,6,12,2,9,2,0,13,2,1,3,21,1,11,33,2,22,15,0,52,11,3,1,42,0,4,0,8,1,11,2,17,1,7,3,0,29,21,22,12,3,0,4,2,13,5,207,10,7,8,14,1,1,14,0,9,2,1
"34",6,3,1,2,1,0,10,19,1,32,1,1,14,12,0,6,15,8,3,64,79,0,2,11,1,4,5,4,1,1,8,0,22,7,2,24,10,25,19,16,0,15,41,8,17,6,14,0,0,5,3,0,7,24,0,14,29,9,20,10,0,40,11,1,2,23,1,4,0,3,0,11,1,26,5,5,1,1,40,25,20,19,5,1,6,2,9,6,199,17,13,4,18,1,0,13,0,6,4,0
"35",12,6,4,2,2,0,3,19,2,17,2,0,23,18,0,8,14,9,3,52,49,0,5,19,1,0,5,7,0,0,6,0,20,14,0,13,6,29,15,10,1,10,36,6,17,5,15,0,0,9,2,0,4,28,1,10,29,8,18,10,0,59,24,5,4,30,2,1,0,6,1,6,3,21,0,6,6,1,39,27,23,16,1,0,4,0,11,3,168,20,8,5,25,2,0,7,0,2,3,3
"36",6,5,5,1,1,1,7,12,1,34,0,0,14,15,14,5,8,8,4,62,27,1,6,15,7,1,6,6,2,1,5,0,14,14,1,15,6,27,17,19,1,22,39,11,12,2,13,0,1,6,1,2,5,35,1,10,25,3,15,5,0,33,13,1,1,56,0,2,0,9,0,6,2,22,4,7,3,0,31,11,30,16,11,0,1,0,11,8,208,9,8,6,21,0,0,8,0,4,5,1
"37",6,8,2,0,0,0,5,10,1,24,2,1,22,8,17,6,14,4,3,63,38,1,5,15,1,2,4,4,0,1,5,0,24,11,2,12,7,31,14,5,2,11,46,12,16,6,17,0,2,15,4,1,10,31,2,3,32,2,23,5,0,47,17,5,6,48,0,4,0,12,1,9,2,21,5,3,2,0,16,24,36,13,2,0,7,0,15,8,206,15,8,2,24,4,0,11,0,1,5,2
"38",11,5,8,0,0,0,5,10,1,36,0,1,14,22,16,7,9,5,3,60,21,1,7,20,9,3,6,18,0,2,3,0,32,12,0,15,7,27,21,14,3,13,37,5,8,9,8,0,2,16,2,1,17,27,0,11,33,0,10,8,0,31,6,3,5,48,0,3,0,10,1,15,2,27,3,8,4,2,25,5,26,17,4,0,4,0,11,10,130,13,7,2,21,0,0,17,0,2,1,2
"39",5,1,10,1,1,1,7,11,1,38,2,0,20,21,27,7,15,9,4,44,72,1,5,21,13,1,8,6,2,0,4,1,21,23,1,8,2,17,12,24,2,14,43,8,14,10,10,0,2,13,3,2,15,30,0,8,34,5,16,10,0,35,24,0,0,47,0,5,0,4,1,15,3,21,4,6,3,3,42,15,36,28,0,0,8,11,17,8,138,16,7,2,20,0,0,8,0,2,5,2
"40",11,3,7,2,1,0,4,10,0,31,1,0,16,20,18,2,9,5,5,69,33,0,7,22,11,2,7,8,4,0,3,0,20,19,0,13,4,23,14,23,1,14,47,8,17,7,14,0,2,3,4,0,9,18,0,6,28,3,21,4,0,29,15,1,3,70,0,2,0,9,0,5,2,16,1,11,2,3,46,19,21,20,7,0,6,17,19,3,141,14,1,6,19,0,1,7,1,0,3,2
"41",9,5,1,2,1,1,7,15,1,26,1,1,18,20,8,8,10,4,3,71,147,1,1,9,10,4,3,9,2,1,8,4,24,13,0,8,6,18,16,14,3,15,40,3,11,8,11,2,4,7,2,0,10,33,3,10,36,16,18,3,0,16,11,2,4,45,0,1,1,4,5,9,1,22,5,6,3,3,33,12,26,11,8,0,2,19,16,5,169,16,3,4,15,0,0,1,0,0,2,2
"42",8,1,2,1,1,0,5,18,0,29,1,0,21,10,11,3,10,4,2,56,80,0,2,12,19,2,5,20,0,0,6,1,18,16,1,11,3,20,9,17,3,16,48,3,5,6,13,0,2,12,2,0,19,40,0,12,38,4,17,2,0,14,9,1,0,21,0,2,3,6,3,6,1,24,3,10,0,2,18,9,25,18,8,0,6,26,14,11,120,11,10,5,16,2,1,12,0,1,1,3
"43",8,3,3,2,1,1,9,13,0,25,4,3,29,17,6,4,12,6,3,52,61,0,2,12,17,2,7,15,0,1,7,0,25,8,0,8,3,18,16,12,3,9,41,6,11,7,13,0,4,9,1,0,12,26,1,12,29,7,12,3,0,36,12,0,1,31,0,4,3,9,3,8,1,34,5,5,3,3,23,6,28,15,9,0,5,21,17,8,176,16,7,3,18,1,0,12,2,0,1,0
"44",4,6,4,0,0,0,5,14,1,47,2,1,30,16,11,1,11,4,4,51,40,0,7,17,11,4,6,14,1,1,6,6,24,22,0,11,7,12,15,5,2,27,56,12,10,9,17,0,4,16,2,0,12,27,0,8,27,3,12,4,0,23,17,0,5,32,0,5,3,4,1,12,1,28,3,3,2,0,22,21,25,20,7,0,3,21,11,10,164,15,4,4,13,4,0,7,0,4,0,1
"45",7,3,3,2,0,0,9,14,2,37,1,1,21,10,6,4,7,3,4,65,42,1,6,24,15,3,8,8,0,2,4,3,18,10,2,15,8,19,17,7,3,25,64,8,18,8,15,1,2,8,2,1,16,20,0,11,25,4,15,6,0,29,15,1,7,30,0,2,0,7,2,8,1,24,3,5,0,1,33,18,23,20,4,0,5,27,13,5,136,7,6,3,22,2,0,3,2,1,3,1
"46",9,7,3,5,0,2,7,14,1,16,3,1,23,19,13,8,12,2,1,60,149,0,4,12,12,2,8,14,0,4,5,1,28,13,0,12,2,9,19,9,2,32,61,15,14,11,17,0,1,13,1,2,11,17,1,6,26,1,5,0,0,44,12,1,1,66,0,6,0,7,6,7,1,23,3,4,4,1,22,15,30,12,5,1,3,26,9,9,158,17,3,3,34,3,1,13,1,7,3,0
"47",11,10,4,1,4,0,5,16,0,14,3,0,16,14,27,10,11,1,5,46,78,2,4,15,11,3,5,19,1,7,4,0,27,18,2,9,4,23,13,11,1,28,71,10,7,8,9,1,2,13,1,5,9,13,0,13,24,2,11,3,0,23,6,2,4,46,0,0,0,6,3,6,5,22,5,9,4,2,51,14,22,21,4,0,7,21,10,9,115,9,3,5,33,2,1,0,0,7,1,0
"48",8,3,3,1,0,1,18,9,1,14,2,0,17,12,10,5,14,5,2,48,95,0,6,21,7,0,3,10,1,2,5,1,20,16,4,11,5,17,10,9,0,20,49,11,9,7,10,0,1,6,6,5,10,16,1,10,25,0,23,5,0,34,4,1,5,30,0,1,3,5,3,12,5,23,8,1,3,1,27,7,24,40,5,0,2,16,12,5,130,17,1,1,21,2,0,7,3,3,1,0
"49",7,3,4,3,0,0,14,10,1,18,1,0,22,12,4,10,15,1,6,56,113,0,3,14,18,3,9,18,2,1,10,0,27,10,1,12,5,5,16,2,0,21,22,6,2,9,11,1,0,3,3,1,4,18,0,12,27,4,20,5,0,34,4,1,5,48,4,1,1,8,2,13,2,24,1,6,2,2,41,15,21,40,3,0,4,18,7,5,183,10,2,4,18,1,0,3,0,1,2,1
"50",9,0,12,1,0,0,13,9,1,22,4,0,20,7,13,8,17,2,2,57,126,1,4,20,12,0,12,14,2,4,7,0,17,5,2,12,3,14,16,3,0,26,33,7,7,5,11,0,0,4,1,1,13,16,0,18,24,4,13,4,0,25,10,2,3,53,2,3,0,10,2,12,0,20,3,3,2,3,21,14,30,44,3,0,1,21,6,7,180,11,3,12,25,1,0,1,2,3,1,0
"51",11,4,5,1,1,0,9,11,1,13,1,0,27,17,5,12,13,4,0,64,41,0,4,17,20,2,3,8,2,0,5,0,31,6,0,12,6,23,17,12,2,28,28,3,6,3,16,0,0,8,4,2,16,15,0,15,25,12,17,6,0,29,9,1,4,42,0,4,5,15,4,19,1,29,4,4,5,0,23,7,32,35,3,0,5,21,6,6,145,18,1,6,21,0,0,12,2,8,0,0
"52",7,7,7,2,3,1,10,10,1,27,3,0,16,12,0,6,15,2,3,55,81,0,6,16,9,2,4,9,1,7,7,0,25,8,1,15,5,34,7,6,4,24,38,5,4,3,9,0,0,1,5,4,22,10,0,13,18,6,19,6,0,17,5,1,3,36,0,2,5,5,1,11,4,26,2,3,4,3,20,6,21,17,2,0,5,10,9,4,131,12,0,0,16,1,0,9,0,3,1,0
"53",4,7,6,0,1,0,7,7,3,20,6,1,13,12,7,1,17,1,3,50,125,1,3,13,19,1,4,7,2,4,6,0,28,14,4,4,4,28,11,12,2,28,44,7,6,8,20,0,1,3,2,0,11,9,1,11,14,6,20,8,0,29,29,5,2,32,0,2,0,8,1,8,3,18,1,5,2,2,19,5,30,9,4,2,2,4,8,7,107,11,4,2,28,1,0,10,0,8,0,0
"54",10,11,3,0,0,2,6,5,0,34,3,2,12,20,17,5,20,4,3,53,77,0,4,16,13,0,8,7,2,4,3,0,27,2,3,8,7,28,11,6,2,18,54,6,5,2,13,1,1,8,1,0,8,16,0,12,21,1,16,2,0,10,23,0,2,20,0,4,3,6,0,10,2,27,2,1,2,0,14,7,20,6,3,1,9,1,7,10,190,8,4,5,22,3,0,4,0,7,3,1
"55",5,7,9,3,3,0,8,8,0,43,4,0,20,14,22,6,15,5,2,58,69,1,8,15,4,1,10,3,2,5,2,0,9,10,1,13,4,28,10,4,1,13,44,3,9,6,18,2,0,1,1,0,5,13,0,12,20,0,10,4,0,23,20,3,2,19,0,2,3,8,0,9,3,21,0,4,6,6,14,9,19,12,3,3,4,8,12,6,141,13,2,8,20,4,1,2,2,7,2,0
"56",9,8,6,0,1,0,9,9,0,24,3,1,14,9,15,4,15,5,3,60,46,1,4,26,10,2,10,4,2,7,5,1,15,9,6,7,7,39,9,9,4,22,32,9,7,3,15,0,0,2,2,0,11,15,0,15,20,7,18,5,0,20,19,0,5,35,0,2,0,2,1,10,1,34,2,1,6,2,20,2,21,31,1,1,4,17,8,7,187,20,4,1,16,0,0,2,0,4,4,0
"57",5,5,4,0,0,0,6,7,0,23,2,0,8,20,14,4,14,3,5,52,15,0,7,17,8,0,1,7,2,0,9,1,26,9,0,13,12,27,18,6,2,17,39,9,4,8,20,1,1,3,3,2,11,10,0,9,25,3,21,8,0,11,6,5,4,36,0,2,3,2,3,11,2,22,1,3,5,1,16,7,26,30,4,1,4,19,7,3,130,13,4,5,6,0,0,16,1,6,1,0
"58",5,1,4,1,0,0,12,3,0,38,2,0,15,14,18,3,21,2,3,54,249,0,3,18,6,1,10,6,0,1,7,0,22,13,1,9,7,27,18,5,1,37,40,6,7,9,10,1,0,8,1,0,17,10,0,13,13,1,16,6,0,6,7,1,4,29,0,6,0,3,1,9,4,31,2,6,2,3,15,11,25,28,0,0,2,10,8,5,102,13,1,5,10,2,0,9,2,3,0,0
"59",5,1,2,3,2,1,3,8,0,32,1,0,15,16,28,7,9,0,2,49,156,1,4,14,2,1,3,8,1,1,9,2,25,3,1,5,14,26,5,3,0,19,30,3,2,8,12,0,2,13,4,0,9,9,0,12,18,0,14,1,0,6,13,1,2,35,0,4,1,1,0,8,3,26,3,7,1,2,11,8,25,26,5,1,5,18,14,5,163,10,4,3,29,4,2,4,0,2,2,0
"60",8,0,7,2,0,1,13,3,2,35,5,0,18,9,33,3,12,0,6,61,127,0,2,16,3,3,10,14,2,0,12,0,26,10,5,8,5,31,18,5,1,21,49,4,5,13,9,0,0,8,4,1,1,6,0,10,19,8,13,10,0,9,15,0,5,24,0,4,0,4,0,18,2,21,1,6,0,2,14,15,30,20,4,0,4,18,14,0,236,12,7,7,20,2,0,7,0,1,1,1
"61",6,2,4,0,0,1,8,2,0,24,1,0,17,8,23,0,14,0,4,61,139,0,3,13,2,1,7,2,2,1,6,3,28,4,1,10,4,17,14,5,0,21,68,4,7,11,10,1,0,6,1,2,12,17,0,13,5,4,20,4,0,25,9,1,3,49,0,2,2,1,0,12,3,25,0,0,4,2,24,9,32,4,1,1,6,18,10,3,128,14,4,5,18,2,1,2,1,0,1,0
"62",5,5,3,0,1,1,11,3,2,34,4,5,11,17,29,4,16,1,5,55,92,0,3,15,2,3,7,6,1,2,10,0,26,6,1,11,2,37,18,5,0,14,60,14,6,6,15,0,1,18,3,4,15,10,0,7,14,4,27,6,0,20,8,0,4,28,0,1,8,9,0,7,1,21,0,8,5,1,31,8,22,6,2,0,6,16,11,4,170,8,5,6,16,1,0,7,0,2,1,0
"63",9,1,3,0,0,0,10,7,1,37,5,2,28,12,30,2,23,2,8,56,129,0,7,16,6,1,6,2,2,2,11,0,18,5,2,10,9,27,12,1,0,29,62,8,2,12,15,0,3,9,1,0,15,15,0,6,13,0,28,2,0,19,7,1,5,35,0,5,0,6,0,11,3,23,1,6,5,5,26,16,22,7,1,0,5,17,14,7,213,10,4,8,14,4,1,8,0,1,4,1
"64",6,1,5,1,2,1,6,14,2,25,4,2,22,13,21,4,19,1,6,75,144,0,7,7,0,1,4,10,1,1,5,1,22,6,3,6,3,35,14,7,1,23,56,7,8,10,10,1,1,10,2,1,11,14,0,9,13,1,18,7,0,6,3,2,5,24,3,3,2,6,3,11,0,25,2,5,6,6,18,12,22,25,2,0,4,7,15,2,220,10,3,6,13,2,0,4,0,0,2,1
"65",10,1,5,0,0,1,7,7,0,32,2,2,24,10,17,5,18,4,3,57,162,0,3,10,2,3,8,6,0,2,7,0,30,17,3,13,5,31,14,6,0,11,43,4,9,9,12,2,0,14,3,2,9,14,0,6,20,0,25,5,0,2,5,0,5,17,2,4,0,2,2,9,2,31,0,4,8,2,10,14,28,25,5,0,2,6,16,2,165,18,4,6,9,1,0,5,0,2,1,2
"66",5,3,6,0,0,0,4,13,1,32,2,0,23,9,26,4,21,1,5,46,54,0,7,20,3,3,5,7,1,2,10,0,42,16,1,12,8,36,18,3,1,9,46,5,8,17,8,1,1,16,3,2,8,13,0,14,15,6,19,13,0,7,3,0,4,32,2,1,5,2,1,5,3,21,0,2,2,1,4,3,16,22,1,0,3,5,8,5,113,11,4,5,12,2,0,12,0,2,3,0
"67",12,3,7,2,1,0,6,18,2,18,5,0,23,14,22,8,13,9,0,46,70,1,3,19,1,4,6,7,1,0,10,1,19,12,2,16,6,9,15,7,0,16,54,7,5,16,19,0,1,17,0,0,5,15,0,9,21,2,19,8,0,13,9,4,8,22,0,7,8,7,3,11,3,33,2,9,2,2,8,16,26,26,1,0,5,11,12,4,109,14,2,4,4,1,0,5,0,4,4,1
